0x0000AC: ¬
0x0000D7: ×
0x000393: Γ
0x000394: Δ
0x000398: Θ
0x00039B: Λ
0x00039E: Ξ
0x0003A0: Π
0x0003A3: Σ
0x0003A5: Υ
0x0003A6: Φ
0x0003A8: Ψ
0x0003A9: Ω
0x0003B1: α
0x0003B2: β
0x0003B3: γ
0x0003B4: δ
0x0003B5: ε
0x0003B6: ζ
0x0003B7: η
0x0003B8: θ
0x0003B9: ι
0x0003BA: κ
0x0003BB: λ
0x0003BC: μ
0x0003BD: ν
0x0003BE: ξ
0x0003C0: π
0x0003C1: ρ
0x0003C3: σ
0x0003C4: τ
0x0003C5: υ
0x0003C6: φ
0x0003C7: χ
0x0003C8: ψ
0x0003C9: ω
0x002040: ⁀
0x002102: ℂ
0x002115: ℕ
0x002119: ℙ
0x00211A: ℚ
0x00211D: ℝ
0x002124: ℤ
0x002192: →
0x002194: ↔
0x002195: ↕
0x002197: ↗
0x002198: ↘
0x0021A0: ↠
0x0021A3: ↣
0x0021A6: ↦
0x0021BE: ↾
0x0021BF: ↿
0x0021D0: ⇐
0x0021D2: ⇒
0x0021D4: ⇔
0x0021F8: ⇸
0x0021FB: ⇻
0x002200: ∀
0x002203: ∃
0x002205: ∅
0x002208: ∈
0x002209: ∉
0x002218: ∘
0x002227: ∧
0x002228: ∨
0x002229: ∩
0x00222A: ∪
0x00225C: ≜
0x002260: ≠
0x002261: ≡
0x002264: ≤
0x002265: ≥
0x002282: ⊂
0x002283: ⊃
0x002286: ⊆
0x002287: ⊇
0x00228E: ⊎
0x002291: ⊑
0x002295: ⊕
0x002296: ⊖
0x0022A2: ⊢
0x0022A5: ⊥
0x0022C2: ⋂
0x0022C3: ⋃
0x0022CE: ⋎
0x0022CF: ⋏
0x00231C: ⌜
0x00231D: ⌝
0x0024C8: Ⓢ
0x0024DC: ⓜ
0x0024E3: ⓣ
0x0024E9: ⓩ
0x002500: ─
0x002502: │
0x00250C: ┌
0x002514: └
0x00251C: ├
0x002550: ═
0x002552: ╒
0x0025A0: ■
0x0025B7: ▷
0x0025C1: ◁
0x0027E6: ⟦
0x0027E7: ⟧
0x0027E8: ⟨
0x0027E9: ⟩
0x002900: ⤀
0x002914: ⤔
0x002915: ⤕
0x002916: ⤖
0x002981: ⦁
0x002982: ⦂
0x002987: ⦇
0x002988: ⦈
0x00298E: ⦎
0x00298F: ⦏
0x002A3C: ⨼
0x002A3D: ⨽
0x002A3E: ⨾
0x002A64: ⩤
0x002A65: ⩥
0x00FE63: ﹣
0x01D539: 𝔹
0x01D53D: 𝔽
0x01D54A: 𝕊
0x01D54C: 𝕌
