# $Id: widgets.txt,v 1.2 2003/06/26 11:51:08 rda Exp rda $
# format: full.widget.name	WidgetClassName
# N.b., it is conventional to use the application class name "Xpp"
# not the application name "xpp" in resource files
# Use a "*" as a wildcard to match zero or more components of a resource name
# Use a "?" as a wildcard for exactly one component of a resource name.
# E.g.,
#	 "Xpp*copy.foreground: red" makes the copy item in all the edit menus red
# 	"Xpp*journal*copy.foreground: red" makes the copy item in the journal popup edit menu only red
#	"Xpp*popup-edit-menu.copy.foreground: red" makes the copy item in all the popup edit menus red
# Motif separator and sash widgets are not listed.
xpp	ApplicationShell
xpp.frame	XmMainWindow
xpp.frame.filesel_popup	XmDialogShell
xpp.frame.filesel_popup.filesel	XmFileSelectionBox
xpp.frame.filesel_popup.filesel.Apply	XmPushButtonGadget
xpp.frame.filesel_popup.filesel.Cancel	XmPushButtonGadget
xpp.frame.filesel_popup.filesel.Dir	XmLabelGadget
xpp.frame.filesel_popup.filesel.DirListSW	XmScrolledWindow
xpp.frame.filesel_popup.filesel.DirListSW.DirList	XmList
xpp.frame.filesel_popup.filesel.DirListSW.HorScrollBar	XmScrollBar
xpp.frame.filesel_popup.filesel.DirListSW.VertScrollBar	XmScrollBar
xpp.frame.filesel_popup.filesel.FilterLabel	XmLabelGadget
xpp.frame.filesel_popup.filesel.FilterText	XmTextField
xpp.frame.filesel_popup.filesel.Help	XmPushButtonGadget
xpp.frame.filesel_popup.filesel.Items	XmLabelGadget
xpp.frame.filesel_popup.filesel.ItemsListSW	XmScrolledWindow
xpp.frame.filesel_popup.filesel.ItemsListSW.HorScrollBar	XmScrollBar
xpp.frame.filesel_popup.filesel.ItemsListSW.ItemsList	XmList
xpp.frame.filesel_popup.filesel.ItemsListSW.VertScrollBar	XmScrollBar
xpp.frame.filesel_popup.filesel.OK	XmPushButtonGadget
xpp.frame.filesel_popup.filesel.Selection	XmLabelGadget
xpp.frame.filesel_popup.filesel.Separator	XmSeparatorGadget
xpp.frame.filesel_popup.filesel.Text	XmTextField
xpp.frame.mainpanes	XmPanedWindow
xpp.frame.mainpanes.journalSW	XmScrolledWindow
xpp.frame.mainpanes.journalSW.journal	XmText
xpp.frame.mainpanes.journalSW.journal.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.journalSW.journal.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.journalSW.journal.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.journalSW.journal.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.journalSW.VertScrollBar	XmScrollBar
xpp.frame.mainpanes.Sash	XmSash
xpp.frame.mainpanes.scriptpanes	XmPanedWindow
xpp.frame.mainpanes.scriptpanes.infobar	XmForm
xpp.frame.mainpanes.scriptpanes.infobar.filename	XmRowColumn
xpp.frame.mainpanes.scriptpanes.infobar.filename.filelabel	XmLabel
xpp.frame.mainpanes.scriptpanes.infobar.filename.namestring	XmTextField
xpp.frame.mainpanes.scriptpanes.infobar.filename.namestring.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.infobar.filename.namestring.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.infobar.filename.namestring.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.infobar.filename.namestring.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.infobar.infolabel	XmLabel
xpp.frame.mainpanes.scriptpanes.infobar.linenumber	XmLabel
xpp.frame.mainpanes.scriptpanes.infobar.linenumber.popup_line-number-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.infobar.linenumber.popup_line-number-menu.line-number-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.infobar.linenumber.popup_line-number-menu.line-number-menu.stop	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.infobar.logo	XmLabel
xpp.frame.mainpanes.scriptpanes.Sash	XmSash
xpp.frame.mainpanes.scriptpanes.scriptSW	XmScrolledWindow
xpp.frame.mainpanes.scriptpanes.scriptSW.script	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.ok_popup	XmDialogShell
